"ReadID","ReadTime","InputPressure","ManifoldPressure","HighPressureSensor","LowPressureSensor"
1,0,87.7699966430664,0.439999997615814,87.7300033569336,0.289999991655350
2,1,88.5500030517578,0.439999997615814,87.8899993896484,0.289999991655350
3,2,89.3499984741211,0.439999997615814,88.1999969482422,0.289999991655350
4,3,90.0999984741211,0.439999997615814,88.6699981689453,0.289999991655350
5,4,90.8399963378906,0.439999997615814,89.2699966430664,0.289999991655350
6,5,91.5599975585938,0.439999997615814,90.0199966430664,0.289999991655350
7,7,92.1900024414063,0.449999988079071,90.7500000000000,0.289999991655350
8,8,92.5699996948242,0.449999988079071,91.3899993896484,0.289999991655350
9,9,92.8099975585938,0.449999988079071,91.9400024414063,0.289999991655350
10,10,93.0599975585938,0.469999998807907,92.3899993896484,0.300000011920929
11,11,93.2500000000000,0.469999998807907,92.7300033569336,0.310000002384186
12,12,93.3799972534180,0.449999988079071,92.9599990844727,0.310000002384186
13,13,93.5000000000000,0.449999988079071,93.1299972534180,0.310000002384186
14,14,93.4599990844727,0.449999988079071,93.2600021362305,0.310000002384186
15,15,93.5100021362305,0.449999988079071,93.3499984741211,0.310000002384186
16,16,93.5800018310547,0.449999988079071,93.4199981689453,0.300000011920929
17,18,93.5699996948242,0.449999988079071,93.4599990844727,0.300000011920929
18,19,93.5999984741211,0.449999988079071,93.4899978637695,0.300000011920929
19,20,93.5800018310547,0.449999988079071,93.5100021362305,0.300000011920929
20,21,93.5699996948242,0.449999988079071,93.5199966430664,0.300000011920929
21,22,93.5800018310547,0.449999988079071,93.5100021362305,0.300000011920929
22,23,93.5000000000000,0.449999988079071,93.5000000000000,0.300000011920929
23,24,93.5500030517578,0.449999988079071,93.4800033569336,0.300000011920929
24,25,93.5100021362305,0.460000008344650,93.4499969482422,0.300000011920929
25,26,93.5000000000000,1.07000005245209,87.9100036621094,1.05999994277954
26,27,93.3899993896484,1.88999998569489,92.4499969482422,1.74000000953674
27,29,93.3899993896484,2.33999991416931,92.9599990844727,2.16000008583069
28,30,93.4100036621094,5.86000013351440,75.6299972534180,2.85999989509583
29,31,92.8099975585938,5.98999977111816,58.1300010681152,3.53999996185303
30,32,92.3499984741211,6.73999977111816,40.7599983215332,4.36000013351440
31,33,91.9499969482422,7.19999980926514,23.4799995422363,5.28000020980835
32,34,91.6299972534180,7.50000000000000,6.26000022888184,6.25000000000000
33,35,91.3499984741211,7.67999982833862,6.65999984741211,6.80999994277954
34,36,91.0400009155273,7.78999996185303,7.00000000000000,7.15000009536743
35,37,90.7699966430664,7.84000015258789,7.21000003814697,7.36000013351440
36,38,90.5400009155273,7.86000013351440,7.34000015258789,7.48000001907349
37,39,90.3000030517578,7.86000013351440,7.40999984741211,7.55000019073486
